epoch,accuracy,loss,val_accuracy,val_loss
0,0.47346699237823486,2.9776628017425537,0.66015625,1.70875883102417
1,0.5224056839942932,1.4115345478057861,0.74609375,1.1668481826782227
2,0.645636796951294,1.0646817684173584,0.69921875,0.8953961730003357
3,0.755306601524353,0.7807843685150146,0.765625,0.6911755204200745
4,0.8095518946647644,0.6291272640228271,0.7734375,0.6806173920631409
5,0.823113203048706,0.5955060720443726,0.85546875,0.6064872741699219
6,0.8466981053352356,0.5503649115562439,0.82421875,0.6144121885299683
7,0.854363203048706,0.532460629940033,0.7734375,0.6705266237258911
8,0.8484669923782349,0.5320294499397278,0.77734375,0.5971530079841614
9,0.8514150977134705,0.517867922782898,0.8125,0.5783303380012512
10,0.885613203048706,0.44787031412124634,0.890625,0.47974324226379395
11,0.8920990824699402,0.4277583658695221,0.87890625,0.4871840476989746
12,0.8879716992378235,0.4294220507144928,0.87890625,0.4767478406429291
13,0.900943398475647,0.41618451476097107,0.87109375,0.5143374800682068
14,0.895636796951294,0.420407772064209,0.890625,0.4701622724533081
15,0.8950471878051758,0.4168103337287903,0.87109375,0.4902256429195404
16,0.9033018946647644,0.4116450548171997,0.890625,0.46372437477111816
17,0.8991745114326477,0.4133340120315552,0.89453125,0.4527108371257782
18,0.8979952931404114,0.4062982499599457,0.87890625,0.46833255887031555
19,0.9086084961891174,0.40020331740379333,0.87109375,0.515670895576477
20,0.9021226167678833,0.4044498801231384,0.88671875,0.46938270330429077
